,page_id,wikidata_id,film,release_date,box_office,runtime,languages,countries,genres,reviewScores,awardsReceived,awardsNominated,capitalCost
Shawn Mendes: In Wonder,65599803,Q104864112,Shawn Mendes: In Wonder,2020-11-23T00:00:00Z,,,English,United States of America,['documentary'],"['6.4/10', '47%']",[''],[''],
She Dies Tomorrow,62841171,Q84009126,She Dies Tomorrow,2020-01-01T00:00:00Z,,,English,United States of America,['thriller'],"['7.3/10', '83%', '80/100']",[''],[''],
She's in Portland,66018170,Q104878723,She's in Portland,2020-01-01T00:00:00Z,,,,United States of America,[''],"['6.2/10', '67%']",[''],[''],
Shehr e Tabassum,68810384,Q108841607,Shehr e Tabassum,2020-02-29T00:00:00Z,,,,Pakistan,"['cyberpunk', 'animated']",[''],[''],[''],
Sheleena,65064256,Q101245071,Sheleena,,,,,,,,,,
Shikara (2020 film),61812450,Q84318478,Shikara,2020-01-01T00:00:00Z,,,Hindi,India,"['historical', 'drama', 'romance']",[''],[''],[''],
Shimla Mirchi,62670903,Q55080302,Shimla Mirchi,2020-01-01T00:00:00Z,,,,India,['comedy drama'],[''],[''],[''],
Shine Your Eyes,64677809,Q97933263,Shine Your Eyes,2020-01-01T00:00:00Z,,,"English, Portuguese, Igbo, Hungarian","France, Brazil",['drama'],"['100%', '7.2/10']",[''],[''],
Shirley (2020 film),57441882,Q56274109,Shirley,2020-01-01T00:00:00Z,,107,English,United States of America,"['thriller', 'drama', 'biographical']","['7.4/10', '87%', '76/100']",['Sundance Special Jury Prize Dramatic'],[''],
Shirobako: The Movie,69730590,Q109458733,Shirobako: The Movie,,,,,,,,,,
Shironam,65733080,Q102036263,Shironam,2020-10-21T00:00:00Z,,,Bangla,India,[''],[''],[''],[''],
Shithouse (film),64238868,Q88699442,Shithouse,2020-01-01T00:00:00Z,,99,English,United States of America,"['romance', 'coming-of-age fiction']","['7.4/10', '94%']",[''],[''],
Shiva Baby,64704775,Q98078759,Shiva Baby,2020-01-01T00:00:00Z,,78,English,"United States of America, Canada",['comedy'],"['97%', '7.9/10', '79/100']","['National Board of Review: Top Ten Independent Films', 'Independent Spirit John Cassavetes Award']",[''],
Shivaji Surathkal,63243740,Q86756772,Shivaji Surathkal,2020-01-01T00:00:00Z,,,Kannada,India,['nonlinear narrative'],[''],[''],[''],
Shivarjuna,63867134,Q96405561,Shivarjuna,,,,,,,,,,
Shock Wave 2,60374175,Q62597210,Shock Wave 2,2020-12-24T00:00:00Z,,120,"Cantonese, Mandarin",Hong Kong,['action thriller'],"['6.9/10', '82%']",[''],[''],
Shoot to Marry,64255435,Q96405569,Shoot to Marry,2020-01-01T00:00:00Z,,,,Canada,[''],"['76%', '7/10']",[''],[''],
Shooting Star (2020 film),66159964,Q104835613,Shooting Star (2020 film),,,,,,,,,,
Shortcut (2020 film),65353025,Q99883494,Shortcut,2020-08-19T00:00:00Z,,80,English,Italy,['horror'],"['5.2/10', '59%']",[''],[''],
Should the Wind Drop,65439561,Q99873407,Should the Wind Drop,2020-01-01T00:00:00Z,,100,"French, English, Russian, Armenian","Armenia, France, Belgium",['drama'],[''],[''],['International Submission to the Academy Awards'],
The Show (2020 film),69104456,Q109286410,The Show (2020 film),,,,,,,,,,
Showgirls of Pakistan,70331798,Q111946577,Showgirls of Pakistan,,,,,,,,,,
Shubh Mangal Zyada Saavdhan,61741178,Q73128497,Shubh Mangal Zyada Saavdhan,2020-01-01T00:00:00Z,,117,Hindi,India,"['romantic comedy', 'LGBT-related']","['7.2/10', '93%']",[''],[''],
Shukranu,63460991,Q96220560,Shukranu,2020-01-01T00:00:00Z,,,,India,[''],[''],[''],[''],
Shylock (2020 film),61335951,Q85801051,Shylock,2020-01-01T00:00:00Z,,,Malayalam,India,['action'],[''],[''],[''],
"Sí, mi amor (film)",72306510,Q91700658,"Sí, mi amor",2020-01-01T00:00:00Z,,107,Spanish,Peru,['comedy'],[''],[''],[''],
Siberia (2020 film),62970418,Q83954889,Siberia,2020-02-24T00:00:00Z,,92,English,"Germany, Mexico, Italy",['drama'],"['5.2/10', '62%', '59/100']",[''],[''],
A Siege Diary,70044312,Q97315487,A Siege Diary,2020-01-01T00:00:00Z,,118,Russian,Russia,['war'],[''],['Golden George'],[''],
Sightless,62964875,Q84011993,Sightless,2020-01-01T00:00:00Z,,,English,United States of America,"['thriller', 'drama']","['4.5/10', '40%']",[''],[''],
The Sign Painter,67120621,Q84764570,The Sign Painter,2020-01-01T00:00:00Z,,,"German, Russian, Yiddish, Latvian, Latgalian","Czech Republic, Latvia, Lithuania","['drama', 'comedy drama']",[''],[''],[''],
The Silencing,62918772,Q84010941,The Silencing,,,,,,,,,,
The Silent Forest,66683690,Q100270990,The Silent Forest,2020-01-01T00:00:00Z,,,,Taiwan,[''],[''],[''],[''],
The Silver Skates (film),61241540,Q64747594,The Silver Skates (film),2020-01-01T00:00:00Z,,,Russian,Russia,['romance'],[''],[''],[''],550000000
Simple Passion,64284365,Q86842943,Simple Passion,2020-09-09T00:00:00Z,,96,"English, French","Belgium, France","['romance', 'drama']",[''],[''],[''],
Sinamkol,65534563,Q101245264,Sinamkol,,,,,,,,,,
Sincerely Daisy,65536102,Q101245266,Sincerely Daisy,2020-01-01T00:00:00Z,,87,English,Kenya,"['drama', 'comedy', 'romance']",[''],[''],[''],
Sincerely Louis CK,63634551,Q96405726,Sincerely Louis CK,,,,,,,,,,
Sing Me a Lullaby,65530054,Q101245262,Sing Me a Lullaby,,,,,,,,,,
The Sinners,65808604,Q102036281,The Sinners,2020-01-01T00:00:00Z,,,,United States of America,[''],"['4.5/10', '50%']",[''],[''],
Sister of the Groom,64102781,Q96405780,Sister of the Groom,2020-01-01T00:00:00Z,,92,English,United States of America,[''],[''],[''],[''],
Sisters with Transistors,67899266,Q107334296,Sisters with Transistors,2020-10-17T00:00:00Z,,,,United States of America,[''],[''],[''],[''],
Sitara: Let Girls Dream,63705554,Q96419363,Sitara: Let Girls Dream,,,,,,,,,,
Sitting in Limbo (2020 film),64280802,Q96405786,Sitting in Limbo (2020 film),,,,,,,,,,
Six Minutes to Midnight,56638626,Q56274055,Six Minutes To Midnight,2020-01-01T00:00:00Z,,,English,United Kingdom,['thriller'],"['5.5/10', '35%']",[''],[''],
Skin (2020 film),68858960,Q85976692,Skin (2020 film),,,,,,,,,,
Skin: A History of Nudity in the Movies,72134903,Q115804194,Skin: A History of Nudity in the Movies,2020-08-18T00:00:00Z,,130,,,[''],[''],[''],[''],
Skull: The Mask,64049465,Q96405814,Skull: The Mask,2020-05-22T00:00:00Z,,,Portuguese,,[''],"['5.9/10', '67%']",[''],[''],
Sky Blossom,65998639,Q104878169,Sky Blossom,2020-10-29T00:00:00Z,,,English,United States of America,['documentary'],[''],[''],[''],
Sky High (2020 film),67072005,Q96107294,Sky High,2020-08-26T00:00:00Z,,121,Spanish,Spain,['thriller'],[''],[''],[''],
Sky Sharks,68303778,Q27464988,Sky Sharks,2020-08-27T00:00:00Z,,,English,Germany,"['comedy', 'horror']","['4.8/10', '43%']",[''],[''],
Skylines (film),65654086,Q101001959,Skylines,2020-01-01T00:00:00Z,69808,104,English,United States of America,['action'],"['5.4/10', '56%']",[''],[''],
Slalom (2020 film),73154476,Q100276888,Slalom,2020-08-29T00:00:00Z,,92,French,"France, Belgium",['drama'],['100%'],['Valois Magelis'],['European University Film Award'],
Slaxx,64532722,Q97332669,Slaxx,2020-01-01T00:00:00Z,,77,English,Canada,['comedy'],"['6.8/10', '96%']",[''],[''],
Sleeping Partner (film),63362898,Q96405838,Sleeping Partner (film),,,,,,,,,,
Sleepless Beauty,75020620,Q123001104,Sleepless Beauty,,,,,,,,,,
The Sleepover,61637637,Q66828817,The Sleepover,2020-08-21T00:00:00Z,,100,English,United States of America,['drama'],"['6.2/10', '67%']",[''],[''],
Slim and I,65230327,Q98925646,Slim and I,2020-09-10T00:00:00Z,,106,English,Australia,['documentary'],[''],[''],[''],
Slow Machine,65538811,Q101245267,Slow Machine,,,,,,,,,,
Small Chops,63884486,Q96405854,Small Chops,2020-01-31T00:00:00Z,20000000,130,English,Nigeria,['drama'],[''],[''],[''],
Small Country: An African Childhood,71447257,Q88479671,Small Country: An African Childhood,2020-01-01T00:00:00Z,,,French,"France, Belgium",['drama'],[''],[''],[''],
Small Town Wisconsin,65911071,Q104872909,Small Town Wisconsin,2020-08-15T00:00:00Z,,,English,United States of America,[''],[''],[''],[''],
Smiley Face Killers (film),65609964,Q104033970,Smiley Face Killers,2020-01-01T00:00:00Z,,96,English,United States of America,"['thriller', 'horror']","['4.8/10', '44%']",[''],[''],
Sniper: Assassin's End,63929029,Q96405879,Sniper: Assassin's End,2020-01-01T00:00:00Z,,,,United States of America,['action'],[''],[''],[''],
Snowball (2020 film),68530623,Q107515649,Snowball (2020 film),,,,,,,,,,
So Late So Soon,72835659,Q116730574,So Late So Soon,2020-03-05T00:00:00Z,,71,English,United States of America,['documentary'],[''],[''],[''],
So Much Love to Give (film),65270115,Q83380423,So Much Love to Give,2020-01-01T00:00:00Z,,108,Spanish,Argentina,['comedy'],[''],[''],[''],
So What If the Goats Die,69297682,Q105079716,So What If the Goats Die,,,,,,,,,,
The Social Dilemma,65267036,Q99191029,The Social Dilemma,2020-09-09T00:00:00Z,,94,English,United States of America,"['documentary', 'drama']","['85%', '7.2/10', '78/100']",[''],[''],
Soft Work,68887248,Q108933763,Soft Work,2020-01-01T00:00:00Z,100000,100,English,Nigeria,[''],[''],[''],[''],
Softie (2020 film),65578826,Q101201502,Softie,2020-01-01T00:00:00Z,,,English,Kenya,"['drama', 'documentary']",[''],['Sundance World Cinema Special Jury Prize Documentary'],[''],
A Soldier's Revenge,64692278,Q98079197,A Soldier's Revenge,2020-01-01T00:00:00Z,,140,English,United States of America,['western'],[''],[''],[''],
Solitary (2020 film),65480459,Q99866082,Solitary,2020-08-31T00:00:00Z,,,English,United Kingdom,['thriller'],[''],[''],[''],
Solo Brathuke So Better,63317075,Q96405976,Solo Brathuke So Better,,,,,,,,,,
Some Kind of Heaven,63454596,Q96405993,Some Kind of Heaven,,,,,,,,,,
Sometimes I Wish I Was on a Desert Island,71041835,Q112679264,Sometimes I Wish I Was on a Desert Island,,,,,,,,,,
Son of Mercy (film),68888788,Q108933856,Son of Mercy,2020-01-01T00:00:00Z,,120,English,Nigeria,['crime'],[''],[''],[''],
Son of Monarchs,66300551,Q105043997,Son of Monarchs,2020-11-01T00:00:00Z,,,"Spanish, American English","Mexico, United States of America",['drama'],"['90%', '7.1/10']",[''],[''],
Son of the South (film),60510142,Q65057856,Son of the South,2020-08-26T00:00:00Z,,106,English,United States of America,"['drama', 'biographical', 'historical drama', 'political drama']","['5.7/10', '61%', '60/100']",[''],[''],
Songbird (2020 film),64423411,Q97189755,Songbird,2020-01-01T00:00:00Z,,84,English,United States of America,"['romantic thriller', 'dystopian']","['3.5/10', '9%', '27/100']",[''],[''],
Songs of Repression,64224052,Q76450214,Songs of Repression,2020-01-01T00:00:00Z,,85,"German, Spanish",Denmark,"['documentary', 'historical']",[''],[''],[''],
Sonic the Hedgehog (film),58058892,Q29906232,Sonic the Hedgehog,2020-02-13T00:00:00Z,,99,"English, Japanese","United States of America, Japan","['comedy', 'action', 'fantasy', 'adventure', 'family']","['63%', '5.9/10', '47/100']",[''],[''],
Sonsi,73752674,Q118215595,Sonsi,,,,,,,,,,
Soorarai Pottru,60485629,Q63135778,Soorarai Pottru,2020-11-12T00:00:00Z,,,Tamil,India,['drama'],[''],[''],[''],
Soosthi,65416654,Q101245205,Soosthi,,,,,,,,,,
Sophie Jones (film),70229147,Q108576559,Sophie Jones,2021-01-01T00:00:00Z,,,,United States of America,[''],"['100%', '7.2/10']",[''],[''],
SOS Kolkata,65492998,Q97142461,SOS Kolkata,2020-10-21T00:00:00Z,,,Bangla,India,[''],[''],[''],[''],
Souad (film),64284485,Q96406049,Souad,2020-01-01T00:00:00Z,,96,Arabic,Egypt,['drama'],['89%'],[''],['International Submission to the Academy Awards'],
Soul (2020 film),61083241,Q64744044,Soul,2020-10-11T00:00:00Z,120957731,101,English,United States of America,"['comedy drama', 'ghost', 'fantasy', 'animated', 'adventure']","['8.3/10', '95%', '83/100']",['Academy Award for Best Animated Feature'],[''],150000000
Soul Snatcher,63636240,Q96401377,Soul Snatcher,,,,,,,,,,
Souvenir Souvenir,70017961,Q104290469,Souvenir Souvenir,,,,,,,,,,
Space Dogs: Return to Earth,65752212,Q97190744,Space Dogs: Return to Earth,,,,,,,,,,
Spaceship Earth (film),63777786,Q96406135,Spaceship Earth,2020-01-01T00:00:00Z,,,English,United States of America,['documentary'],"['88%', '7/10']",[''],[''],
Special Jollof,63878738,Q93729353,Special Jollof,2020-02-14T00:00:00Z,,85,English,"Nigeria, United States of America","['drama', 'comedy', 'romance']",[''],[''],[''],
The Speech (film),75408386,Q99328479,The Speech,2020-09-01T00:00:00Z,,87,French,France,"['romance', 'comedy']",[''],[''],[''],
The Speed Cubers,64576988,Q97495263,The Speed Cubers,2020-07-29T00:00:00Z,,40,English,United States of America,['documentary'],"['100%', '8.2/10']",[''],[''],
Speer Goes to Hollywood,68845117,Q85290882,Speer Goes to Hollywood,2020-02-26T00:00:00Z,,97,"French, German, English",Israel,['documentary'],['61/100'],[''],[''],
Spell (film),61764942,Q101094463,Spell,2020-01-01T00:00:00Z,,91,English,United States of America,"['thriller', 'horror']","['48%', '5.3/10']",[''],[''],
Spelling the Dream,63768821,Q96406177,Spelling the Dream,2020-01-01T00:00:00Z,,83,English,United States of America,['documentary'],[''],[''],[''],
Spenser Confidential,57771777,Q58814558,Spenser Confidential,2020-03-06T00:00:00Z,,111,English,United States of America,"['drama', 'action']","['4.6/10', '49/100', '37%']",[''],[''],
Spit Earth: Who Is Jordan Wolfson?,65454988,Q104860074,Spit Earth: Who Is Jordan Wolfson?,,,,,,,,,,
The SpongeBob Movie: Sponge on the Run,48521868,Q61450772,The SpongeBob Movie: Sponge on the Run,2020-08-14T00:00:00Z,,83,English,United States of America,['comedy'],"['6.1/10', '66%', '65/100']",[''],[''],
Spontaneous (film),59526202,Q60738091,Spontaneous,2020-01-01T00:00:00Z,,,English,United States of America,['fantasy'],"['8.3/10', '97%', '78/100']",[''],[''],
Sportin' Life (2020 film),64710486,Q98078635,Sportin' Life,2020-01-01T00:00:00Z,,65,English,Italy,['drama'],[''],[''],[''],
Spree (film),62911766,Q84010760,Spree,2020-01-01T00:00:00Z,,,English,United States of America,['independent'],"['6/10', '67%']",[''],[''],
Spring Blossom,64673635,Q97933360,Spring Blossom,2020-09-01T00:00:00Z,,73,French,France,"['drama', 'comedy', 'romance']","['6.6/10', '93%', '68/100']",[''],[''],
Sputnik (film),64618589,Q86675345,Sputnik,2020-04-23T00:00:00Z,,113,Russian,Russia,"['thriller', 'drama', 'horror']","['88%', '7/10', '61/100']",[''],[''],
Spy Cat,68105371,Q62056194,Spy Cat,,,,,,,,,,
Spy Intervention,63151598,Q85802770,Spy Intervention,2020-01-01T00:00:00Z,,93,English,United States of America,[''],[''],[''],[''],
Sraboner Dhara,62217093,Q85802789,Sraboner Dhara,2020-02-07T00:00:00Z,,,Bangla,India,[''],[''],[''],[''],
Stage Mother (2020 film),61086205,Q65049515,Stage Mother,2020-01-01T00:00:00Z,,,,United States of America,"['drama', 'comedy']",[''],[''],[''],
Stam (film),65656246,Q104865444,Stam,2019-01-01T00:00:00Z,,,Afrikaans,South Africa,['drama'],[''],[''],[''],
Stand by Me Doraemon 2,62589173,Q78185552,Stand by Me Doraemon 2,,,,,,,,,,
The Stand In (2020 film),60530860,Q63927179,The Stand-In,2020-01-01T00:00:00Z,,,English,United States of America,['romantic comedy'],"['4.5/10', '30%']",[''],[''],
Star Light (film),63430107,Q96406422,Star Light (film),,,,,,,,,,
Stardust (2020 film),62780347,Q65158575,Stardust,2020-01-01T00:00:00Z,,109,English,"United Kingdom, Canada","['drama', 'biographical', 'musical']","['4.3/10', '20%', '35/100']",[''],[''],
Stargirl (film),57968047,Q57474414,Stargirl,2020-01-01T00:00:00Z,,107,English,United States of America,['romance'],"['6.2/10', '68%']",[''],[''],
A State of Madness,65889189,Q104872119,A State of Madness,2020-01-01T00:00:00Z,,93,Spanish,Dominican Republic,"['historical', 'drama']",[''],[''],['International Submission to the Academy Awards'],
The State of Texas vs. Melissa,67418967,Q106670345,The State of Texas vs. Melissa,,,,,,,,,,
Stateless (film),67275395,Q106515007,Stateless (film),,,,,,,,,,
Stay Out of the Attic,67121848,Q106298594,Stay Out of the Attic,2020-01-01T00:00:00Z,,80,English,United States of America,['horror'],"['5.4/10', '25%']",[''],[''],
Steel Rain 2: Summit,64766571,Q97338345,Steel Rain 2: Summit,2020-07-29T00:00:00Z,,132,"English, Japanese, Korean",South Korea,['action'],[''],[''],[''],
The Sticky Side of Baklava,68489890,Q107325241,The Sticky Side of Baklava,,,,,,,,,,
Still Here (film),61967341,Q83953294,Still Here,2020-08-27T00:00:00Z,,,,United States of America,['drama'],"['29%', '4.7/10']",[''],[''],
Still Processing (film),70083620,Q111165834,Still Processing (film),,,,,,,,,,
Stoker Hills,74118930,Q119942450,Stoker Hills,2020-11-13T00:00:00Z,,91,English,United States of America,[''],[''],[''],[''],
A Storm Was Coming,67527230,Q106817675,A Storm Was Coming,2020-01-01T00:00:00Z,,87,,Spain,"['crime', 'documentary']",[''],[''],[''],
The Story of Southern Islet,74777864,Q106450558,The Story of Southern Islet,2020-01-01T00:00:00Z,,,,Malaysia,[''],[''],[''],[''],
Strain (film),69276057,Q109585639,Strain,2020-01-01T00:00:00Z,,106,English,Nigeria,['drama'],[''],[''],[''],
Street Dancer 3D,59924880,Q62023603,Street Dancer,2020-01-01T00:00:00Z,,,Hindi,India,['dance'],"['4/10', '10%']",[''],[''],
Street Survivors: The True Story of the Lynyrd Skynyrd Plane Crash,53869194,Q29567978,Street Survivors: The True Story of the Lynyrd Skynyrd Plane Crash,2020-01-01T00:00:00Z,,,English,United States of America,"['biographical', 'musical']",[''],[''],[''],
Streltsov (film),65250476,Q55438657,Streltsov,2020-01-01T00:00:00Z,361620479,101,Russian,Russia,"['drama', 'biographical']",[''],[''],[''],330000000
Striding Into the Wind,69390450,Q105712763,Striding Into The Wind,2020-01-01T00:00:00Z,,,,People's Republic of China,[''],[''],[''],[''],
Stump the Guesser,66063119,Q104879941,Stump the Guesser,,,,,,,,,,
The Stylist,68425018,Q108208563,The Stylist,,,,,,,,,,
Suarez: The Healing Priest,65989734,Q104551604,Suarez: The Healing Priest,,,,,,,,,,
The Subject (2020 film),72224553,Q115802976,The Subject (2020 film),,,,,,,,,,
Sublet (film),67193367,Q87066067,Sublet,2020-01-01T00:00:00Z,,89,"English, Hebrew",Israel,"['LGBT-related', 'drama']","['7.1/10', '91%']",[''],[''],
Submersible (film),68567862,Q108485549,Sumergible,2020-01-01T00:00:00Z,,80,Spanish,Ecuador,['thriller'],[''],[''],['International Submission to the Academy Awards'],
Sufiyum Sujatayum,63964759,Q96406662,Sufiyum Sujathayum,2020-07-03T00:00:00Z,,,Malayalam,India,[''],[''],[''],[''],
Sufna,62799444,Q85803947,Sufna,2020-02-14T00:00:00Z,,,Punjabi,India,['romance'],[''],[''],[''],
Sugar Daddy (film),67276714,Q106514995,Sugar Daddy (film),,,,,,,,,,
Sumi (film),71469147,Q113568225,Sumi (film),,,,,,,,,,
Summer of 85,61909378,Q85855063,Summer of 85,2020-01-01T00:00:00Z,,100,French,France,"['drama', 'romance', 'LGBT-related']","['6.5/10', '80%', '65/100']",[''],['European Film Award for Best Director'],
Summer of Mesa,63907476,Q96406690,Summer of Mesa,2020-01-01T00:00:00Z,,76,English,United States of America,[''],[''],[''],[''],
The Summer We Lived,71711671,Q91444319,El verano que vivimos,2020-12-04T00:00:00Z,1200000,119,Spanish,Spain,['drama'],[''],[''],[''],6000000
Summer White,65948017,Q100144601,Summer White,,,,,,,,,,
Summerland (2020 film),59456391,Q60737844,Summerland,2020-01-01T00:00:00Z,,,English,United Kingdom,['drama'],"['6.5/10', '78%', '56/100']",[''],[''],
Summertime (2020 film),66198901,Q104830622,Summertime (2020 film),,,,,,,,,,
Sun Children,64694777,Q85970010,Sun Children,2020-02-10T00:00:00Z,,99,Persian,Iran,['drama'],"['91%', '7.8/10', '70/100']",[''],['International Submission to the Academy Awards'],
A Sunburnt Christmas,73418823,Q117348347,A Sunburnt Christmas,2020-12-11T00:00:00Z,,,,Australia,[''],[''],[''],[''],
Suparna (film),61249547,Q85804167,Suparna,2020-01-01T00:00:00Z,,,,Sri Lanka,[''],[''],[''],[''],
The Superdeep,65691120,Q97181122,Kola Superdeep,2020-11-04T00:00:00Z,40812565,,Russian,Russia,"['thriller', 'horror']",['29%'],[''],[''],
Superintelligence (film),57089154,Q55696425,Superintelligence,2020-01-01T00:00:00Z,,,English,United States of America,[],"['31%', '4.6/10']",[''],[''],
Superman: Man of Tomorrow,63832644,Q96419433,Superman: Man of Tomorrow,2020-08-23T00:00:00Z,,86,English,United States of America,"['superhero', 'animated', 'action']","['100%', '7.1/10']",[''],[''],
Superman: Red Son (film),62618418,Q78914620,Superman: Red Son (film),,,,,,,,,,
Supernova (2020 film),64772760,Q98139723,Supernova,2020-01-01T00:00:00Z,,93,English,United Kingdom,"['road movie', 'LGBT-related', 'drama']","['7.6/10', '89%', '73/100']",[''],[''],
Suraiya (film),62922422,Q85804267,Suraiya (film),,,,,,,,,,
Suraj Pe Mangal Bhari,62654306,Q85804270,Suraj Pe Mangal Bhari,2020-11-15T00:00:00Z,,,Hindi,India,[''],[''],[''],[''],
Surge (2020 American film),66875965,Q105847195,Surge (2020 American film),,,,,,,,,,
Surge (2020 British film),63043122,Q85804297,Surge (2020 British film),,,,,,,,,,
Surprise Attack - Tunnel Warfare,69400122,Q110921649,Surprise Attack - Tunnel Warfare,,,,,,,,,,
The Surrogate (2020 film),67732345,Q107122234,The Surrogate (2020 film),,,,,,,,,,
Survival Skills (film),65566335,Q104863051,Survival Skills,2020-03-06T00:00:00Z,,,,United States of America,[''],[''],[''],[''],
Survive the Night,63245650,Q86757083,Survive the Night,2020-01-01T00:00:00Z,,90,English,United States of America,"['thriller', 'action']","['14%', '3.8/10']",[''],[''],
The Swamp (documentary),64796185,Q104846899,The Swamp (documentary),,,,,,,,,,
The Swarm (2020 film),66954460,Q99795824,The Swarm,2020-01-01T00:00:00Z,,101,French,France,"['speculative fiction', 'drama']","['86%', '6.5/10']",[''],[''],
Sweat (2020 film),64802495,Q103997314,Sweat,2020-09-14T00:00:00Z,,105,"Polish, English","Poland, Sweden","['drama', 'comedy', 'comedy drama']","['98%', '7.5/10']",[''],[''],1619835
Sweet Sunshine,72380104,Q115803255,Sweet Sunshine,2020-01-01T00:00:00Z,,94,English,United States of America,['drama'],[''],[''],[''],
Sweet Taste of Souls,70998592,Q111584297,Sweet Taste of Souls,2020-11-01T00:00:00Z,,99,English,United States of America,"['fantasy', 'horror', 'thriller']",[''],[''],[''],
Swimming Out Till the Sea Turns Blue,66890224,Q85873664,Swimming Out Till the Sea Turns Blue,2020-01-01T00:00:00Z,,112,,People's Republic of China,['documentary'],"['76%', '6.6/10']",[''],[''],
Switzerland (film),74576209,Q121368478,Switzerland,2020-11-13T00:00:00Z,,,,India,[''],[''],[''],[''],
The Swordsman (2020 film),54329671,Q30612342,The Swordsman,2020-09-23T00:00:00Z,,100,Korean,South Korea,"['sageuk', 'action']",[''],[''],[''],
Sylvie's Love,60070035,Q65077493,Sylvie's Love,2020-01-01T00:00:00Z,,,,United States of America,['drama'],"['7.3/10', '93%', '74/100']",[''],[''],
Taana (film),62920176,Q85804828,Taana,2020-01-01T00:00:00Z,,,Tamil,India,['romantic comedy'],[''],[''],[''],
Taar (film),73470939,Q117843074,Taar (film),,,,,,,,,,
Tagpuan,66119637,Q104881185,Tagpuan,,,,,,,,,,
Tahara (film),70990282,Q112663190,Tahara,2022-06-10T00:00:00Z,,77,English,United States of America,['drama'],[''],[''],[''],
Taish,61389388,Q85804927,Taish,,,,,,,,,,
Take a Spin in the Air,74298017,Q119686514,Take a Spin in the Air,2020-01-01T00:00:00Z,,80,Spanish,Chile,"['fantasy', 'mystery']",[''],[''],[''],
Takut Ke Tak,65015366,Q98537525,Takut Ke Tak,,,,,,,,,,
The Tale of the Dog,68550134,Q108532486,The Tale of the Dog,,,,,,,,,,
Tales from the Hood 3,66106540,Q104880887,Tales from the Hood 3,2020-01-01T00:00:00Z,,,,United States of America,[''],[''],[''],[''],
Talking to God,70261951,Q112623089,Talking to God,,,,,,,,,,
The Tambour of Retribution,69235682,Q104095081,The Tambour of Retribution,2020-12-03T00:00:00Z,,80,Arabic,Saudi Arabia,['drama'],[''],[''],['International Submission to the Academy Awards'],
The Tango of the Widower and Its Distorting Mirror,60413451,Q64768508,El tango del viudo,2017-01-01T00:00:00Z,,,Spanish,Chile,[''],[''],[''],[''],
Tanhaji,58631000,Q19807569,Tanhaji,2020-01-01T00:00:00Z,,,Hindi,India,['historical'],"['6/10', '73%']",[''],[''],
Tape (2020 film),75673635,Q124055124,Tape,2020-03-26T00:00:00Z,,98,English,,[''],[''],[''],[''],
Target Number One,64269591,Q96393967,Target Number One,2020-01-01T00:00:00Z,,125,,Canada,['crime'],"['6.6/10', '72%', '62/100']",[''],[''],
Tasher Ghawr,65090226,Q101245074,Tasher Ghawr,2020-09-03T00:00:00Z,,,Bangla,India,[''],[''],[''],[''],
The Tax Collector,57742626,Q55642336,The Tax Collector,2020-01-01T00:00:00Z,309.694,95,English,United States of America,"['thriller', 'crime', 'action']","['19%', '3.9/10']",[''],[''],30000000
Tazmanian Devil (film),17970912,Q97562002,Tazmanian Devil,2020-01-01T00:00:00Z,,,English,United States of America,[''],[''],[''],[''],
Teenage Badass,64859389,Q98927428,Teenage Badass,2020-09-18T00:00:00Z,,99,English,United States of America,[''],[''],[''],[''],
Television Event,67835159,Q107272264,Television Event,,,,,,,,,,
Tell Her (film),69323874,Q107435219,Tell Her,2020-01-01T00:00:00Z,,98,Russian,Russia,['drama'],[''],[''],[''],
Ten Months,70539379,Q108846187,Ten Months,2021-10-14T00:00:00Z,,,Korean,South Korea,[''],[''],[''],[''],
Tender (film),65384116,Q7699581,Tender,2012-01-01T00:00:00Z,,,English,Australia,['comedy'],[''],[''],[''],
Tenet (film),59770239,Q63985561,Tenet,2020-08-13T00:00:00Z,361300000,150,English,"United Kingdom, United States of America","['time-travel', 'action', 'spy', 'thriller']","['6.9/10', '69%', '69/100']",[''],[''],200000000
The Tent (film),72347415,Q115802610,The Tent (film),,,,,,,,,,
Tereza37,68925473,Q100980095,Tereza37,2020-01-01T00:00:00Z,,100,Croatian,Croatia,['drama'],[''],[''],['International Submission to the Academy Awards'],
Tesla (2020 film),62589745,Q88053410,Tesla,2020-01-01T00:00:00Z,,96,English,United States of America,['drama'],"['6/10', '58%', '67/100']",['Alfred P. Sloan Prize'],[''],
Testimony of Ana,72978081,Q116873312,Testimony of Ana,,,,,,,,,,
Tex Avery Screwball Classics,65804531,Q105062962,Tex Avery Screwball Classics,,,,,,,,,,
TFW No GF,70992694,Q91370374,TFW NO GF,2020-01-01T00:00:00Z,,71,English,United States of America,"['documentary', 'independent', 'art']",[''],[''],[''],
Thadhu,66286504,Q105041862,Thadhu,,,,,,,,,,
Thanks for Risking Your Life,66543644,Q105473998,Thanks for Risking Your Life,,,,,,,,,,
Thappad,61781607,Q77892452,Thappad,2020-02-28T00:00:00Z,,142,Hindi,India,['drama'],"['7.9/10', '93%']",[''],[''],
That Was Life,69372585,Q107167683,La vida era eso,2021-08-27T00:00:00Z,,109,Spanish,Spain,['drama'],[''],['Premio Feroz for Best Main Actress'],[''],
Thatrom Thookrom,63672660,Q96408052,Thatrom Thookrom,,,,,,,,,,
